date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:12:48	5232/5232	---M-Z	200	added ('OK')	text/html	etag:%228dc7424895a5d41:0%22	https://m.daodejing.org/guli.htm	C:/My%20Websites/m.daodejing/m.daodejing.org/guli.html	(from https://m.daodejing.org/)
17:12:48	3527/3527	---M--	200	added ('OK')	image/jpeg	etag:%2207eed645f92d21:0%22	https://m.daodejing.org/images/12.jpg	C:/My%20Websites/m.daodejing/m.daodejing.org/images/12.jpg	(from https://m.daodejing.org/)
17:12:48	3474/3474	---M-Z	200	added ('OK')	text/html	etag:%22a6d8524695a5d41:0%22	https://m.daodejing.org/sixiang.htm	C:/My%20Websites/m.daodejing/m.daodejing.org/sixiang.html	(from https://m.daodejing.org/)
17:12:49	2727/2727	---M--	200	added ('OK')	image/jpeg	etag:%2205a44118a92d21:0%22	https://m.daodejing.org/images/13.jpg	C:/My%20Websites/m.daodejing/m.daodejing.org/images/13.jpg	(from https://m.daodejing.org/)
17:12:49	4672/4672	---M-Z	200	added ('OK')	text/html	etag:%223d7d554695a5d41:0%22	https://m.daodejing.org/zhihui.htm	C:/My%20Websites/m.daodejing/m.daodejing.org/zhihui.html	(from https://m.daodejing.org/)
17:12:49	3233/3233	---M--	200	added ('OK')	image/jpeg	etag:%22a06bbcc1479bd21:0%22	https://m.daodejing.org/images/14.jpg	C:/My%20Websites/m.daodejing/m.daodejing.org/images/14.jpg	(from https://m.daodejing.org/)
17:12:49	28650/28650	---M-Z	200	added ('OK')	text/html	etag:%222bcc404695a5d41:0%22	https://m.daodejing.org/gushi.htm	C:/My%20Websites/m.daodejing/m.daodejing.org/gushi.html	(from https://m.daodejing.org/)
17:12:49	3245/3245	---M--	200	added ('OK')	image/jpeg	etag:%22a8c4ca3e479bd21:0%22	https://m.daodejing.org/images/15.jpg	C:/My%20Websites/m.daodejing/m.daodejing.org/images/15.jpg	(from https://m.daodejing.org/)
17:12:50	7304/7304	---M-Z	200	added ('OK')	text/html	etag:%22161d394895a5d41:0%22	https://m.daodejing.org/1.htm	C:/My%20Websites/m.daodejing/m.daodejing.org/1.html	(from https://m.daodejing.org/)
17:12:50	6525/6525	---M-Z	200	added ('OK')	text/html	etag:%2294c314895a5d41:0%22	https://m.daodejing.org/2.htm	C:/My%20Websites/m.daodejing/m.daodejing.org/2.html	(from https://m.daodejing.org/)
17:12:50	6408/6408	---M-Z	200	added ('OK')	text/html	etag:%229cd23c4895a5d41:0%22	https://m.daodejing.org/3.htm	C:/My%20Websites/m.daodejing/m.daodejing.org/3.html	(from https://m.daodejing.org/)
17:12:50	6136/6136	---M-Z	200	added ('OK')	text/html	etag:%22c35ba04795a5d41:0%22	https://m.daodejing.org/4.htm	C:/My%20Websites/m.daodejing/m.daodejing.org/4.html	(from https://m.daodejing.org/)
17:12:51	6489/6489	---M-Z	200	added ('OK')	text/html	etag:%2252fa2b4895a5d41:0%22	https://m.daodejing.org/5.htm	C:/My%20Websites/m.daodejing/m.daodejing.org/5.html	(from https://m.daodejing.org/)
17:12:51	5487/5487	---M-Z	200	added ('OK')	text/html	etag:%22b8fc3f4895a5d41:0%22	https://m.daodejing.org/6.htm	C:/My%20Websites/m.daodejing/m.daodejing.org/6.html	(from https://m.daodejing.org/)
17:12:51	5141/5141	---M-Z	200	added ('OK')	text/html	etag:%22bfc9fa4795a5d41:0%22	https://m.daodejing.org/7.htm	C:/My%20Websites/m.daodejing/m.daodejing.org/7.html	(from https://m.daodejing.org/)
17:12:51	5774/5774	---M-Z	200	added ('OK')	text/html	etag:%22b29c194895a5d41:0%22	https://m.daodejing.org/8.htm	C:/My%20Websites/m.daodejing/m.daodejing.org/8.html	(from https://m.daodejing.org/)
17:12:52	5324/5324	---M-Z	200	added ('OK')	text/html	etag:%22ff3f224895a5d41:0%22	https://m.daodejing.org/9.htm	C:/My%20Websites/m.daodejing/m.daodejing.org/9.html	(from https://m.daodejing.org/)
17:12:52	8709/8709	---M-Z	200	added ('OK')	text/html	etag:%2258d06e1e33e7d61:0%22	https://m.daodejing.org/10.htm	C:/My%20Websites/m.daodejing/m.daodejing.org/10.html	(from https://m.daodejing.org/)
17:12:52	5067/5067	---M-Z	200	added ('OK')	text/html	etag:%22fcdd4b4795a5d41:0%22	https://m.daodejing.org/11.htm	C:/My%20Websites/m.daodejing/m.daodejing.org/11.html	(from https://m.daodejing.org/)
17:12:52	5804/5804	---M-Z	200	added ('OK')	text/html	etag:%22219b4e4795a5d41:0%22	https://m.daodejing.org/12.htm	C:/My%20Websites/m.daodejing/m.daodejing.org/12.html	(from https://m.daodejing.org/)
17:12:52	6722/6722	---M-Z	200	added ('OK')	text/html	etag:%22707f514795a5d41:0%22	https://m.daodejing.org/13.htm	C:/My%20Websites/m.daodejing/m.daodejing.org/13.html	(from https://m.daodejing.org/)
17:12:53	7113/7113	---M-Z	200	added ('OK')	text/html	etag:%22b32a554795a5d41:0%22	https://m.daodejing.org/14.htm	C:/My%20Websites/m.daodejing/m.daodejing.org/14.html	(from https://m.daodejing.org/)
17:12:53	7459/7459	---M-Z	200	added ('OK')	text/html	etag:%22dac4354895a5d41:0%22	https://m.daodejing.org/15.htm	C:/My%20Websites/m.daodejing/m.daodejing.org/15.html	(from https://m.daodejing.org/)
